# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
@version 5.1.0

1EEF  ; [.1385.0020.0002.0075][.0000.006D.0002.031B][.0000.004E.0002.0303] # LATIN SMALL LETTER U WITH HORN AND TILDE; QQCM
1EEE  ; [.1385.0020.0008.0055][.0000.006D.0002.031B][.0000.004E.0002.0303] # LATIN CAPITAL LETTER U WITH HORN AND TILDE; QQCM
1EED  ; [.1385.0020.0002.0075][.0000.006D.0002.031B][.0000.0060.0002.0309] # LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE; QQCM
1EEC  ; [.1385.0020.0008.0055][.0000.006D.0002.031B][.0000.0060.0002.0309] # LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE; QQCM
1EF1  ; [.1385.0020.0002.0075][.0000.006D.0002.031B][.0000.007A.0002.0323] # LATIN SMALL LETTER U WITH HORN AND DOT BELOW; QQCM
1EF0  ; [.1385.0020.0008.0055][.0000.006D.0002.031B][.0000.007A.0002.0323] # LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW; QQCM
1EE5  ; [.1385.0020.0002.0075][.0000.007A.0002.0323] # LATIN SMALL LETTER U WITH DOT BELOW; QQCM
1EE4  ; [.1385.0020.0008.0055][.0000.007A.0002.0323] # LATIN CAPITAL LETTER U WITH DOT BELOW; QQCM
1E73  ; [.1385.0020.0002.0075][.0000.007F.0002.0324] # LATIN SMALL LETTER U WITH DIAERESIS BELOW; QQCM
1E72  ; [.1385.0020.0008.0055][.0000.007F.0002.0324] # LATIN CAPITAL LETTER U WITH DIAERESIS BELOW; QQCM
1E77  ; [.1385.0020.0002.0075][.0000.0086.0002.032D] # LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW; QQCM
1E76  ; [.1385.0020.0008.0055][.0000.0086.0002.032D] # LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW; QQCM
1E75  ; [.1385.0020.0002.0075][.0000.0089.0002.0330] # LATIN SMALL LETTER U WITH TILDE BELOW; QQCM
1E74  ; [.1385.0020.0008.0055][.0000.0089.0002.0330] # LATIN CAPITAL LETTER U WITH TILDE BELOW; QQCM
0289  ; [.138D.0020.0002.0289] # LATIN SMALL LETTER U BAR
0244  ; [.138D.0020.0008.0244] # LATIN CAPITAL LETTER U BAR
0265  ; [.1393.0020.0002.0265] # LATIN SMALL LETTER TURNED H
02AE  ; [.1397.0020.0002.02AE] # LATIN SMALL LETTER TURNED H WITH FISHHOOK 
02AF  ; [.139B.0020.0002.02AF] # LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
026F  ; [.139F.0020.0002.026F] # LATIN SMALL LETTER TURNED M
019C  ; [.139F.0020.0008.019C] # LATIN CAPITAL LETTER TURNED M
0270  ; [.13A4.0020.0002.0270] # LATIN SMALL LETTER TURNED M WITH LONG LEG
028A  ; [.13A8.0020.0002.028A] # LATIN SMALL LETTER UPSILON
01B1  ; [.13A8.0020.0008.01B1] # LATIN CAPITAL LETTER UPSILON
0076  ; [.13AD.0020.0002.0076] # LATIN SMALL LETTER V
FF56  ; [.13AD.0020.0003.FF56] # FULLWIDTH LATIN SMALL LETTER V; QQK
036E  ; [.13AD.0020.0004.036E] # COMBINING LATIN SMALL LETTER V; QQK
2174  ; [.13AD.0020.0004.2174] # SMALL ROMAN NUMERAL FIVE; QQK
24B1  ; [*02C8.0020.0004.24B1][.13AD.0020.0004.24B1][*02C9.0020.001F.24B1] # PARENTHESIZED LATIN SMALL LETTER V; QQKN
24E5  ; [.13AD.0020.0006.24E5] # CIRCLED LATIN SMALL LETTER V; QQK
0056  ; [.13AD.0020.0008.0056] # LATIN CAPITAL LETTER V
FF36  ; [.13AD.0020.0009.FF36] # FULLWIDTH LATIN CAPITAL LETTER V; QQK
2164  ; [.13AD.0020.000A.2164] # ROMAN NUMERAL FIVE; QQK
24CB  ; [.13AD.0020.000C.24CB] # CIRCLED LATIN CAPITAL LETTER V; QQK
2C7D  ; [.13AD.0020.001D.2C7D] # MODIFIER LETTER CAPITAL V; QQK
1E7D  ; [.13AD.0020.0002.0076][.0000.004E.0002.0303] # LATIN SMALL LETTER V WITH TILDE; QQCM
1E7C  ; [.13AD.0020.0008.0056][.0000.004E.0002.0303] # LATIN CAPITAL LETTER V WITH TILDE; QQCM
1E7F  ; [.13AD.0020.0002.0076][.0000.007A.0002.0323] # LATIN SMALL LETTER V WITH DOT BELOW; QQCM
1E7E  ; [.13AD.0020.0008.0056][.0000.007A.0002.0323] # LATIN CAPITAL LETTER V WITH DOT BELOW; QQCM
2175  ; [.13AD.0020.0004.2175][.121E.0020.0004.2175] # SMALL ROMAN NUMERAL SIX; QQKN
2165  ; [.13AD.0020.000A.2165][.121E.0020.000A.2165] # ROMAN NUMERAL SIX; QQKN
2176  ; [.13AD.0020.0004.2176][.121E.0020.0004.2176][.121E.0020.001F.2176] # SMALL ROMAN NUMERAL SEVEN; QQKN
2166  ; [.13AD.0020.000A.2166][.121E.0020.000A.2166][.121E.0020.001F.2166] # ROMAN NUMERAL SEVEN; QQKN
2177  ; [.13AD.0020.0004.2177][.121E.0020.0004.2177][.121E.0020.001F.2177][.121E.0020.001F.2177] # SMALL ROMAN NUMERAL EIGHT; QQKN
2167  ; [.13AD.0020.000A.2167][.121E.0020.000A.2167][.121E.0020.001F.2167][.121E.0020.001F.2167] # ROMAN NUMERAL EIGHT; QQKN
33DE  ; [.13AD.0020.001D.33DE][*050B.0020.001C.33DE][.1291.0020.001F.33DE] # SQUARE V OVER M; QQKN
A761  ; [.13AD.0020.0004.A761][.13CE.0020.0004.A761] # LATIN SMALL LETTER VY; QQKN
A760  ; [.13AD.0020.000A.A760][.13CE.0020.000A.A760] # LATIN CAPITAL LETTER VY; QQKN
A75F  ; [.13B2.0020.0002.A75F] # LATIN SMALL LETTER V WITH DIAGONAL STROKE
A75E  ; [.13B2.0020.0008.A75E] # LATIN CAPITAL LETTER V WITH DIAGONAL STROKE
028B  ; [.13B4.0020.0002.028B] # LATIN SMALL LETTER V WITH HOOK
01B2  ; [.13B4.0020.0008.01B2] # LATIN CAPITAL LETTER V WITH HOOK
2C71  ; [.13B8.0020.0002.2C71] # LATIN SMALL LETTER V WITH RIGHT HOOK
2C74  ; [.13B9.0020.0002.2C74] # LATIN SMALL LETTER V WITH CURL
1EFD  ; [.13BA.0020.0002.1EFD] # LATIN SMALL LETTER MIDDLE-WELSH V
1EFC  ; [.13BA.0020.0008.1EFC] # LATIN CAPITAL LETTER MIDDLE-WELSH V
028C  ; [.13BB.0020.0002.028C] # LATIN SMALL LETTER TURNED V
0245  ; [.13BB.0020.0008.0245] # LATIN CAPITAL LETTER TURNED V
0077  ; [.13BF.0020.0002.0077] # LATIN SMALL LETTER W
FF57  ; [.13BF.0020.0003.FF57] # FULLWIDTH LATIN SMALL LETTER W; QQK
24B2  ; [*02C8.0020.0004.24B2][.13BF.0020.0004.24B2][*02C9.0020.001F.24B2] # PARENTHESIZED LATIN SMALL LETTER W; QQKN
24E6  ; [.13BF.0020.0006.24E6] # CIRCLED LATIN SMALL LETTER W; QQK
0057  ; [.13BF.0020.0008.0057] # LATIN CAPITAL LETTER W
FF37  ; [.13BF.0020.0009.FF37] # FULLWIDTH LATIN CAPITAL LETTER W; QQK
24CC  ; [.13BF.0020.000C.24CC] # CIRCLED LATIN CAPITAL LETTER W; QQK
02B7  ; [.13BF.0020.0014.02B7] # MODIFIER LETTER SMALL W; QQK
1E83  ; [.13BF.0020.0002.0077][.0000.0032.0002.0301] # LATIN SMALL LETTER W WITH ACUTE; QQCM
1E82  ; [.13BF.0020.0008.0057][.0000.0032.0002.0301] # LATIN CAPITAL LETTER W WITH ACUTE; QQCM
1E81  ; [.13BF.0020.0002.0077][.0000.0035.0002.0300] # LATIN SMALL LETTER W WITH GRAVE; QQCM
1E80  ; [.13BF.0020.0008.0057][.0000.0035.0002.0300] # LATIN CAPITAL LETTER W WITH GRAVE; QQCM
0175  ; [.13BF.0020.0002.0077][.0000.003C.0002.0302] # LATIN SMALL LETTER W WITH CIRCUMFLEX; QQCM
0174  ; [.13BF.0020.0008.0057][.0000.003C.0002.0302] # LATIN CAPITAL LETTER W WITH CIRCUMFLEX; QQCM
1E98  ; [.13BF.0020.0002.0077][.0000.0043.0002.030A] # LATIN SMALL LETTER W WITH RING ABOVE; QQCM
1E85  ; [.13BF.0020.0002.0077][.0000.0047.0002.0308] # LATIN SMALL LETTER W WITH DIAERESIS; QQCM
1E84  ; [.13BF.0020.0008.0057][.0000.0047.0002.0308] # LATIN CAPITAL LETTER W WITH DIAERESIS; QQCM
1E87  ; [.13BF.0020.0002.0077][.0000.0052.0002.0307] # LATIN SMALL LETTER W WITH DOT ABOVE; QQCM
1E86  ; [.13BF.0020.0008.0057][.0000.0052.0002.0307] # LATIN CAPITAL LETTER W WITH DOT ABOVE; QQCM
1E89  ; [.13BF.0020.0002.0077][.0000.007A.0002.0323] # LATIN SMALL LETTER W WITH DOT BELOW; QQCM
1E88  ; [.13BF.0020.0008.0057][.0000.007A.0002.0323] # LATIN CAPITAL LETTER W WITH DOT BELOW; QQCM
33DD  ; [.13BF.0020.001D.33DD][.1157.0020.001C.33DD] # SQUARE WB; QQKN
2C73  ; [.13C4.0020.0002.2C73] # LATIN SMALL LETTER W WITH HOOK
2C72  ; [.13C4.0020.0008.2C72] # LATIN CAPITAL LETTER W WITH HOOK
028D  ; [.13C5.0020.0002.028D] # LATIN SMALL LETTER TURNED W
0078  ; [.13C9.0020.0002.0078] # LATIN SMALL LETTER X
FF58  ; [.13C9.0020.0003.FF58] # FULLWIDTH LATIN SMALL LETTER X; QQK
036F  ; [.13C9.0020.0004.036F] # COMBINING LATIN SMALL LETTER X; QQK
2179  ; [.13C9.0020.0004.2179] # SMALL ROMAN NUMERAL TEN; QQK
24B3  ; [*02C8.0020.0004.24B3][.13C9.0020.0004.24B3][*02C9.0020.001F.24B3] # PARENTHESIZED LATIN SMALL LETTER X; QQKN
24E7  ; [.13C9.0020.0006.24E7] # CIRCLED LATIN SMALL LETTER X; QQK
0058  ; [.13C9.0020.0008.0058] # LATIN CAPITAL LETTER X
FF38  ; [.13C9.0020.0009.FF38] # FULLWIDTH LATIN CAPITAL LETTER X; QQK
2169  ; [.13C9.0020.000A.2169] # ROMAN NUMERAL TEN; QQK
24CD  ; [.13C9.0020.000C.24CD] # CIRCLED LATIN CAPITAL LETTER X; QQK
02E3  ; [.13C9.0020.0014.02E3] # MODIFIER LETTER SMALL X; QQK
2093  ; [.13C9.0020.0015.2093] # LATIN SUBSCRIPT SMALL LETTER X; QQK
1E8D  ; [.13C9.0020.0002.0078][.0000.0047.0002.0308] # LATIN SMALL LETTER X WITH DIAERESIS; QQCM
1E8C  ; [.13C9.0020.0008.0058][.0000.0047.0002.0308] # LATIN CAPITAL LETTER X WITH DIAERESIS; QQCM
1E8B  ; [.13C9.0020.0002.0078][.0000.0052.0002.0307] # LATIN SMALL LETTER X WITH DOT ABOVE; QQCM
1E8A  ; [.13C9.0020.0008.0058][.0000.0052.0002.0307] # LATIN CAPITAL LETTER X WITH DOT ABOVE; QQCM
217A  ; [.13C9.0020.0004.217A][.121E.0020.0004.217A] # SMALL ROMAN NUMERAL ELEVEN; QQKN
216A  ; [.13C9.0020.000A.216A][.121E.0020.000A.216A] # ROMAN NUMERAL ELEVEN; QQKN
217B  ; [.13C9.0020.0004.217B][.121E.0020.0004.217B][.121E.0020.001F.217B] # SMALL ROMAN NUMERAL TWELVE; QQKN
216B  ; [.13C9.0020.000A.216B][.121E.0020.000A.216B][.121E.0020.001F.216B] # ROMAN NUMERAL TWELVE; QQKN
0079  ; [.13CE.0020.0002.0079] # LATIN SMALL LETTER Y
FF59  ; [.13CE.0020.0003.FF59] # FULLWIDTH LATIN SMALL LETTER Y; QQK
24B4  ; [*02C8.0020.0004.24B4][.13CE.0020.0004.24B4][*02C9.0020.001F.24B4] # PARENTHESIZED LATIN SMALL LETTER Y; QQKN
24E8  ; [.13CE.0020.0006.24E8] # CIRCLED LATIN SMALL LETTER Y; QQK
0059  ; [.13CE.0020.0008.0059] # LATIN CAPITAL LETTER Y
FF39  ; [.13CE.0020.0009.FF39] # FULLWIDTH LATIN CAPITAL LETTER Y; QQK
24CE  ; [.13CE.0020.000C.24CE] # CIRCLED LATIN CAPITAL LETTER Y; QQK
02B8  ; [.13CE.0020.0014.02B8] # MODIFIER LETTER SMALL Y; QQK
00FD  ; [.13CE.0020.0002.0079][.0000.0032.0002.0301] # LATIN SMALL LETTER Y WITH ACUTE; QQCM
00DD  ; [.13CE.0020.0008.0059][.0000.0032.0002.0301] # LATIN CAPITAL LETTER Y WITH ACUTE; QQCM
1EF3  ; [.13CE.0020.0002.0079][.0000.0035.0002.0300] # LATIN SMALL LETTER Y WITH GRAVE; QQCM
1EF2  ; [.13CE.0020.0008.0059][.0000.0035.0002.0300] # LATIN CAPITAL LETTER Y WITH GRAVE; QQCM
0177  ; [.13CE.0020.0002.0079][.0000.003C.0002.0302] # LATIN SMALL LETTER Y WITH CIRCUMFLEX; QQCM
0176  ; [.13CE.0020.0008.0059][.0000.003C.0002.0302] # LATIN CAPITAL LETTER Y WITH CIRCUMFLEX; QQCM
1E99  ; [.13CE.0020.0002.0079][.0000.0043.0002.030A] # LATIN SMALL LETTER Y WITH RING ABOVE; QQCM
00FF  ; [.13CE.0020.0002.0079][.0000.0047.0002.0308] # LATIN SMALL LETTER Y WITH DIAERESIS; QQCM
0178  ; [.13CE.0020.0008.0059][.0000.0047.0002.0308] # LATIN CAPITAL LETTER Y WITH DIAERESIS; QQCM
1EF9  ; [.13CE.0020.0002.0079][.0000.004E.0002.0303] # LATIN SMALL LETTER Y WITH TILDE; QQCM
1EF8  ; [.13CE.0020.0008.0059][.0000.004E.0002.0303] # LATIN CAPITAL LETTER Y WITH TILDE; QQCM
1E8F  ; [.13CE.0020.0002.0079][.0000.0052.0002.0307] # LATIN SMALL LETTER Y WITH DOT ABOVE; QQCM
1E8E  ; [.13CE.0020.0008.0059][.0000.0052.0002.0307] # LATIN CAPITAL LETTER Y WITH DOT ABOVE; QQCM
0233  ; [.13CE.0020.0002.0079][.0000.005B.0002.0304] # LATIN SMALL LETTER Y WITH MACRON; QQCM
0232  ; [.13CE.0020.0008.0059][.0000.005B.0002.0304] # LATIN CAPITAL LETTER Y WITH MACRON; QQCM
1EF7  ; [.13CE.0020.0002.0079][.0000.0060.0002.0309] # LATIN SMALL LETTER Y WITH HOOK ABOVE; QQCM
1EF6  ; [.13CE.0020.0008.0059][.0000.0060.0002.0309] # LATIN CAPITAL LETTER Y WITH HOOK ABOVE; QQCM
1EF5  ; [.13CE.0020.0002.0079][.0000.007A.0002.0323] # LATIN SMALL LETTER Y WITH DOT BELOW; QQCM
1EF4  ; [.13CE.0020.0008.0059][.0000.007A.0002.0323] # LATIN CAPITAL LETTER Y WITH DOT BELOW; QQCM
028F  ; [.13D2.0020.0002.028F] # LATIN LETTER SMALL CAPITAL Y
024F  ; [.13D6.0020.0002.024F] # LATIN SMALL LETTER Y WITH STROKE
024E  ; [.13D6.0020.0008.024E] # LATIN CAPITAL LETTER Y WITH STROKE
01B4  ; [.13DA.0020.0002.01B4] # LATIN SMALL LETTER Y WITH HOOK
01B3  ; [.13DA.0020.0008.01B3] # LATIN CAPITAL LETTER Y WITH HOOK
1EFF  ; [.13DE.0020.0002.1EFF] # LATIN SMALL LETTER Y WITH LOOP
1EFE  ; [.13DE.0020.0008.1EFE] # LATIN CAPITAL LETTER Y WITH LOOP
007A  ; [.13DF.0020.0002.007A] # LATIN SMALL LETTER Z
FF5A  ; [.13DF.0020.0003.FF5A] # FULLWIDTH LATIN SMALL LETTER Z; QQK
24B5  ; [*02C8.0020.0004.24B5][.13DF.0020.0004.24B5][*02C9.0020.001F.24B5] # PARENTHESIZED LATIN SMALL LETTER Z; QQKN
24E9  ; [.13DF.0020.0006.24E9] # CIRCLED LATIN SMALL LETTER Z; QQK
005A  ; [.13DF.0020.0008.005A] # LATIN CAPITAL LETTER Z
FF3A  ; [.13DF.0020.0009.FF3A] # FULLWIDTH LATIN CAPITAL LETTER Z; QQK
2124  ; [.13DF.0020.000B.2124] # DOUBLE-STRUCK CAPITAL Z; QQK
2128  ; [.13DF.0020.000B.2128] # BLACK-LETTER CAPITAL Z; QQK
24CF  ; [.13DF.0020.000C.24CF] # CIRCLED LATIN CAPITAL LETTER Z; QQK
017A  ; [.13DF.0020.0002.007A][.0000.0032.0002.0301] # LATIN SMALL LETTER Z WITH ACUTE; QQCM
0179  ; [.13DF.0020.0008.005A][.0000.0032.0002.0301] # LATIN CAPITAL LETTER Z WITH ACUTE; QQCM
1E91  ; [.13DF.0020.0002.007A][.0000.003C.0002.0302] # LATIN SMALL LETTER Z WITH CIRCUMFLEX; QQCM
1E90  ; [.13DF.0020.0008.005A][.0000.003C.0002.0302] # LATIN CAPITAL LETTER Z WITH CIRCUMFLEX; QQCM
017E  ; [.13DF.0020.0002.007A][.0000.0041.0002.030C] # LATIN SMALL LETTER Z WITH CARON; QQCM
017D  ; [.13DF.0020.0008.005A][.0000.0041.0002.030C] # LATIN CAPITAL LETTER Z WITH CARON; QQCM
017C  ; [.13DF.0020.0002.007A][.0000.0052.0002.0307] # LATIN SMALL LETTER Z WITH DOT ABOVE; QQCM
017B  ; [.13DF.0020.0008.005A][.0000.0052.0002.0307] # LATIN CAPITAL LETTER Z WITH DOT ABOVE; QQCM
1E93  ; [.13DF.0020.0002.007A][.0000.007A.0002.0323] # LATIN SMALL LETTER Z WITH DOT BELOW; QQCM
1E92  ; [.13DF.0020.0008.005A][.0000.007A.0002.0323] # LATIN CAPITAL LETTER Z WITH DOT BELOW; QQCM
1E95  ; [.13DF.0020.0002.007A][.0000.008A.0002.0331] # LATIN SMALL LETTER Z WITH LINE BELOW; QQCM
1E94  ; [.13DF.0020.0008.005A][.0000.008A.0002.0331] # LATIN CAPITAL LETTER Z WITH LINE BELOW; QQCM
018D  ; [.13DF.0020.0004.018D][.13BF.0020.0004.018D] # LATIN SMALL LETTER TURNED DELTA; QQKN
01B6  ; [.13E4.0020.0002.01B6] # LATIN SMALL LETTER Z WITH STROKE
01B5  ; [.13E4.0020.0008.01B5] # LATIN CAPITAL LETTER Z WITH STROKE
0225  ; [.13EA.0020.0002.0225] # LATIN SMALL LETTER Z WITH HOOK
0224  ; [.13EA.0020.0008.0224] # LATIN CAPITAL LETTER Z WITH HOOK
0290  ; [.13EE.0020.0002.0290] # LATIN SMALL LETTER Z WITH RETROFLEX HOOK
0291  ; [.13F2.0020.0002.0291] # LATIN SMALL LETTER Z WITH CURL
0240  ; [.13F6.0020.0002.0240] # LATIN SMALL LETTER Z WITH SWASH TAIL
2C6C  ; [.13FA.0020.0002.2C6C] # LATIN SMALL LETTER Z WITH DESCENDER
2C6B  ; [.13FA.0020.0008.2C6B] # LATIN CAPITAL LETTER Z WITH DESCENDER
A763  ; [.13FB.0020.0002.A763] # LATIN SMALL LETTER VISIGOTHIC Z
A762  ; [.13FB.0020.0008.A762] # LATIN CAPITAL LETTER VISIGOTHIC Z
0292  ; [.13FC.0020.0002.0292] # LATIN SMALL LETTER EZH
01B7  ; [.13FC.0020.0008.01B7] # LATIN CAPITAL LETTER EZH
01EF  ; [.13FC.0020.0002.0292][.0000.0041.0002.030C] # LATIN SMALL LETTER EZH WITH CARON; QQCM
01EE  ; [.13FC.0020.0008.01B7][.0000.0041.0002.030C] # LATIN CAPITAL LETTER EZH WITH CARON; QQCM
01B9  ; [.1401.0020.0002.01B9] # LATIN SMALL LETTER EZH REVERSED
01B8  ; [.1401.0020.0008.01B8] # LATIN CAPITAL LETTER EZH REVERSED
01BA  ; [.1406.0020.0002.01BA] # LATIN SMALL LETTER EZH WITH TAIL
0293  ; [.140A.0020.0002.0293] # LATIN SMALL LETTER EZH WITH CURL
021D  ; [.140E.0020.0002.021D] # LATIN SMALL LETTER YOGH
021C  ; [.140E.0020.0008.021C] # LATIN CAPITAL LETTER YOGH
00FE  ; [.1412.0020.0002.00FE] # LATIN SMALL LETTER THORN
00DE  ; [.1412.0020.0008.00DE] # LATIN CAPITAL LETTER THORN
A765  ; [.1416.0020.0002.A765] # LATIN SMALL LETTER THORN WITH STROKE
A764  ; [.1416.0020.0008.A764] # LATIN CAPITAL LETTER THORN WITH STROKE
A767  ; [.1417.0020.0002.A767] # LATIN SMALL LETTER THORN WITH STROKE THROUGH DESCENDER
A766  ; [.1417.0020.0008.A766] # LATIN CAPITAL LETTER THORN WITH STROKE THROUGH DESCENDER
01BF  ; [.1418.0020.0002.01BF] # LATIN LETTER WYNN
01F7  ; [.1418.0020.0008.01F7] # LATIN CAPITAL LETTER WYNN
A769  ; [.141C.0020.0002.A769] # LATIN SMALL LETTER VEND
A768  ; [.141C.0020.0008.A768] # LATIN CAPITAL LETTER VEND
A76B  ; [.141D.0020.0002.A76B] # LATIN SMALL LETTER ET
A76A  ; [.141D.0020.0008.A76A] # LATIN CAPITAL LETTER ET
A76D  ; [.141E.0020.0002.A76D] # LATIN SMALL LETTER IS
A76C  ; [.141E.0020.0008.A76C] # LATIN CAPITAL LETTER IS
A76F  ; [.141F.0020.0002.A76F] # LATIN SMALL LETTER CON
A76E  ; [.141F.0020.0008.A76E] # LATIN CAPITAL LETTER CON
A770  ; [.141F.0020.0014.A770] # MODIFIER LETTER US; QQK
A778  ; [.1420.0020.0002.A778] # LATIN SMALL LETTER UM
01BB  ; [.1421.0020.0002.01BB] # LATIN LETTER TWO WITH STROKE
A72B  ; [.1425.0020.0002.A72B] # LATIN SMALL LETTER TRESILLO
A72A  ; [.1425.0020.0008.A72A] # LATIN CAPITAL LETTER TRESILLO
A72D  ; [.1426.0020.0002.A72D] # LATIN SMALL LETTER CUATRILLO
A72C  ; [.1426.0020.0008.A72C] # LATIN CAPITAL LETTER CUATRILLO
A72F  ; [.1427.0020.0002.A72F] # LATIN SMALL LETTER CUATRILLO WITH COMMA
A72E  ; [.1427.0020.0008.A72E] # LATIN CAPITAL LETTER CUATRILLO WITH COMMA
01A8  ; [.1428.0020.0002.01A8] # LATIN SMALL LETTER TONE TWO
01A7  ; [.1428.0020.0008.01A7] # LATIN CAPITAL LETTER TONE TWO
01BD  ; [.142C.0020.0002.01BD] # LATIN SMALL LETTER TONE FIVE
01BC  ; [.142C.0020.0008.01BC] # LATIN CAPITAL LETTER TONE FIVE
0185  ; [.1430.0020.0002.0185] # LATIN SMALL LETTER TONE SIX
0184  ; [.1430.0020.0008.0184] # LATIN CAPITAL LETTER TONE SIX
0294  ; [.1434.0020.0002.0294] # LATIN LETTER GLOTTAL STOP
0242  ; [.1438.0020.0002.0242] # LATIN SMALL LETTER GLOTTAL STOP
0241  ; [.1438.0020.0008.0241] # LATIN CAPITAL LETTER GLOTTAL STOP
02C0  ; [.143C.0020.0002.02C0] # MODIFIER LETTER GLOTTAL STOP
02BC  ; [.143D.0020.0002.02BC] # MODIFIER LETTER APOSTROPHE
0149  ; [.143D.0020.0004.0149][.129F.0020.0004.0149] # LATIN SMALL LETTER N PRECEDED BY APOSTROPHE; QQKN
02EE  ; [.143E.0020.0002.02EE] # MODIFIER LETTER DOUBLE APOSTROPHE
02BE  ; [.143F.0020.0002.02BE] # MODIFIER LETTER RIGHT HALF RING
A723  ; [.1440.0020.0002.A723] # LATIN SMALL LETTER EGYPTOLOGICAL ALEF
A722  ; [.1440.0020.0008.A722] # LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF
A78C  ; [.1441.0020.0002.A78C] # LATIN SMALL LETTER SALTILLO
A78B  ; [.1441.0020.0008.A78B] # LATIN CAPITAL LETTER SALTILLO
0295  ; [.1442.0020.0002.0295] # LATIN LETTER PHARYNGEAL VOICED FRICATIVE
02E4  ; [.1442.0020.0014.02E4] # MODIFIER LETTER SMALL REVERSED GLOTTAL STOP; QQK
02BF  ; [.1446.0020.0002.02BF] # MODIFIER LETTER LEFT HALF RING
02C1  ; [.1447.0020.0002.02C1] # MODIFIER LETTER REVERSED GLOTTAL STOP
A725  ; [.144A.0020.0002.A725] # LATIN SMALL LETTER EGYPTOLOGICAL AIN
A724  ; [.144A.0020.0008.A724] # LATIN CAPITAL LETTER EGYPTOLOGICAL AIN
02A1  ; [.144B.0020.0002.02A1] # LATIN LETTER GLOTTAL STOP WITH STROKE
02A2  ; [.144F.0020.0002.02A2] # LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
0296  ; [.1453.0020.0002.0296] # LATIN LETTER INVERTED GLOTTAL STOP
01C0  ; [.1457.0020.0002.01C0] # LATIN LETTER DENTAL CLICK
01C1  ; [.145B.0020.0002.01C1] # LATIN LETTER LATERAL CLICK
01C2  ; [.145F.0020.0002.01C2] # LATIN LETTER ALVEOLAR CLICK
01C3  ; [.1463.0020.0002.01C3] # LATIN LETTER RETROFLEX CLICK
0297  ; [.1467.0020.0002.0297] # LATIN LETTER STRETCHED C
0298  ; [.146B.0020.0002.0298] # LATIN LETTER BILABIAL CLICK
02AC  ; [.146F.0020.0002.02AC] # LATIN LETTER BILABIAL PERCUSSIVE
02AD  ; [.1473.0020.0002.02AD] # LATIN LETTER BIDENTAL PERCUSSIVE
